PeakID	seqnames.x	start.x	end.x	width.x	strand.x	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	X	seqnames.y	start.y	end.y	width.y	strand.y	Conc	Conc_CFUE	Conc_ERY	Fold	p.value	FDR
chr10_110745296_110746004	chr10	110745296	110746004	709	*	Promoter (<=1kb)	10	110745439	110748146	2708	1	52679	ENSMUST00000173294.7	0	ENSMUSG00000020185	E2f7	E2F transcription factor 7	2458	chr10	110745296	110746004	709	*	9.64228434593683	9.88423479845412	9.35141546456068	0.466991168259175	8.59043041657434e-05	0.00141958418669115
chr10_111168265_111168779	chr10	111168265	111168779	515	*	Intron (ENSMUST00000105275.8/237542, intron 1 of 23)	10	111164802	111293754	128953	1	237542	ENSMUST00000095310.2	3463	ENSMUSG00000020189	Osbpl8	oxysterol binding protein-like 8	5913	chr10	111168265	111168779	515	*	8.93586773089428	8.70491924301177	9.13489672254697	-0.368273740511836	0.00375839208765899	0.0258231346770373
chr10_111222558_111223091	chr10	111222558	111223091	534	*	Intron (ENSMUST00000105275.8/237542, intron 2 of 23)	10	111233629	111248449	14821	1	237542	ENSMUST00000217693.1	-10538	ENSMUSG00000020189	Osbpl8	oxysterol binding protein-like 8	174	chr10	111222558	111223091	534	*	8.83590738073133	8.08768588275828	9.32613141265655	-1.15029767505677	4.67936674728039e-15	1.09257834966529e-12
chr10_111256140_111256540	chr10	111256140	111256540	401	*	Intron (ENSMUST00000105275.8/237542, intron 5 of 23)	10	111248068	111287931	39864	1	237542	ENSMUST00000238838.1	8072	ENSMUSG00000020189	Osbpl8	oxysterol binding protein-like 8	1867	chr10	111256140	111256540	401	*	5.60405489330719	4.50913293327962	6.21931914644219	-1.18997453849346	2.19915652702932e-05	0.000478549181701232
chr10_111397312_111397712	chr10	111397312	111397712	401	*	Distal Intergenic	10	111473223	111496884	23662	1	53605	ENSMUST00000065917.15	-75511	ENSMUSG00000058799	Nap1l1	nucleosome assembly protein 1-like 1	5661	chr10	111397312	111397712	401	*	5.07423290723025	4.20397029792611	5.61322068039502	-0.65569994805984	0.00317871460626291	0.0228125133913872
chr10_111472792_111473361	chr10	111472792	111473361	570	*	Promoter (<=1kb)	10	111473223	111496884	23662	1	53605	ENSMUST00000065917.15	0	ENSMUSG00000058799	Nap1l1	nucleosome assembly protein 1-like 1	6648	chr10	111472792	111473361	570	*	9.30433434077556	9.49677337973531	9.08221659231758	0.348836891289132	0.00575817888385971	0.0351891596742732
chr10_111824703_111825459	chr10	111824703	111825459	757	*	Intron (ENSMUST00000220039.1/ENSMUST00000220039.1, intron 3 of 3)	10	111854521	111874376	19856	2	629206	ENSMUST00000220339.1	48917	ENSMUSG00000112533	Gm20758	predicted gene, 20758	2319	chr10	111824703	111825459	757	*	8.43903076920122	8.73751009819856	8.06224698766968	0.560621560500914	6.44454527379333e-05	0.00112903208640967
chr10_111957742_111958142	chr10	111957742	111958142	401	*	Distal Intergenic	10	111972664	111988432	15769	1	52705	ENSMUST00000163048.7	-14522	ENSMUSG00000063334	Krr1	KRR1, small subunit (SSU) processome component, homolog (yeast)	6878	chr10	111957742	111958142	401	*	5.69930863804754	5.09666202121548	6.12310756665827	-0.553324978098324	0.00645593906048166	0.0381339686260815
chr10_11282306_11282706	chr10	11282306	11282706	401	*	Promoter (<=1kb)	10	11281587	11295518	13932	1	71865	ENSMUST00000070300.4	719	ENSMUSG00000047648	Fbxo30	F-box protein 30	1534	chr10	11282306	11282706	401	*	7.96363125227452	7.46420817010167	8.33391875443642	-0.717096386136886	6.54768112399581e-06	0.000173411108881733
chr10_11283815_11284215	chr10	11283815	11284215	401	*	Promoter (2-3kb)	10	11281587	11295518	13932	1	71865	ENSMUST00000070300.4	2228	ENSMUSG00000047648	Fbxo30	F-box protein 30	1040	chr10	11283815	11284215	401	*	6.32479857771378	5.27353153805104	6.92645308543425	-1.34279997104722	5.51283628182348e-07	2.15355768866964e-05
chr10_11286368_11286768	chr10	11286368	11286768	401	*	Intron (ENSMUST00000129456.7/71865, intron 1 of 2)	10	11281587	11295518	13932	1	71865	ENSMUST00000070300.4	4781	ENSMUSG00000047648	Fbxo30	F-box protein 30	411	chr10	11286368	11286768	401	*	5.89077458697283	4.16052350795316	6.65512116809596	-2.18974713385831	1.23695399594611e-10	1.22271849132123e-08
chr10_11323384_11323909	chr10	11323384	11323909	526	*	Distal Intergenic	10	11343404	11459644	116241	1	13853	ENSMUST00000069106.4	-19495	ENSMUSG00000055493	Epm2a	epilepsy, progressive myoclonic epilepsy, type 2 gene alpha	4939	chr10	11323384	11323909	526	*	8.84814915519572	9.10113925185614	8.54115760954874	0.452739921119179	0.00181518698615723	0.0149312819774468
chr10_115250399_115250799	chr10	115250399	115250799	401	*	Promoter (<=1kb)	10	115229200	115251253	22054	2	66687	ENSMUST00000219274.1	454	ENSMUSG00000020130	Tbc1d15	TBC1 domain family, member 15	1314	chr10	115250399	115250799	401	*	7.29079973624906	6.66619217233617	7.72525857256447	-0.851037497721163	2.66672093236142e-06	8.24511958288033e-05
chr10_115314469_115315360	chr10	115314469	115315360	892	*	Promoter (<=1kb)	10	115287084	115315591	28508	2	216344	ENSMUST00000020343.8	231	ENSMUSG00000020132	Rab21	RAB21, member RAS oncogene family	5965	chr10	115314469	115315360	892	*	8.03493555993938	7.75038422636726	8.27250308081035	-0.421247821360454	0.00384597463149574	0.0261945366896526
chr10_115778622_115779022	chr10	115778622	115779022	401	*	Distal Intergenic	10	115816832	115833312	16481	1	216350	ENSMUST00000217900.1	-37810	ENSMUSG00000034127	Tspan8	tetraspanin 8	6440	chr10	115778622	115779022	401	*	5.23391881730828	4.4462080109612	5.74055883264949	-0.60343929973901	0.00512130700280542	0.0323079719880397
chr10_115780284_115780684	chr10	115780284	115780684	401	*	Distal Intergenic	10	115816832	115833312	16481	1	216350	ENSMUST00000217900.1	-36148	ENSMUSG00000034127	Tspan8	tetraspanin 8	1084	chr10	115780284	115780684	401	*	5.93732753554081	4.72165217221342	6.58756686643841	-1.45615018716592	7.14527810818327e-07	2.67796322602548e-05
chr10_117216802_117217202	chr10	117216802	117217202	401	*	Promoter (<=1kb)	10	117215428	117217358	1931	2	64050	ENSMUST00000219609.1	156	ENSMUSG00000020171	Yeats4	YEATS domain containing 4	5578	chr10	117216802	117217202	401	*	6.31796099644657	5.80468328752246	6.69577458009003	-0.567081976051	0.00300574865736605	0.021892174740554
chr10_117709349_117710319	chr10	117709349	117710319	971	*	Promoter (<=1kb)	10	117688895	117710022	21128	2	17246	ENSMUST00000155285.7	0	ENSMUSG00000020184	Mdm2	transformed mouse 3T3 cell double minute 2	2557	chr10	117709349	117710319	971	*	8.4634619457756	8.10640379660161	8.74944997470546	-0.541956362020924	0.000101704666425651	0.0016159387887661
chr10_117916296_117916696	chr10	117916296	117916696	401	*	Distal Intergenic	10	117925459	117948292	22834	1	71067	ENSMUST00000217950.1	-8763	ENSMUSG00000112500	4933411E08Rik	RIKEN cDNA 4933411E08 gene	275	chr10	117916296	117916696	401	*	6.37144735676183	4.7625490580641	7.11315282249097	-2.12361862300523	6.32119510146291e-13	9.33858885044122e-11
chr10_119240035_119240738	chr10	119240035	119240738	704	*	Promoter (<=1kb)	10	119199255	119240055	40801	2	71902	ENSMUST00000020315.12	0	ENSMUSG00000020114	Cand1	cullin associated and neddylation disassociated 1	2083	chr10	119240035	119240738	704	*	11.4297919282752	11.1867878809493	11.6377047478052	-0.413564387220724	3.79304912893745e-05	0.000739799361312251
chr10_120125114_120125514	chr10	120125114	120125514	401	*	Distal Intergenic	10	120083608	120112987	29380	2	117599	ENSMUST00000020449.11	-12127	ENSMUSG00000020228	Helb	helicase (DNA) B	3239	chr10	120125114	120125514	401	*	6.31671909470218	5.66144613164458	6.7656672427819	-0.742572736734603	0.00029796590210708	0.00373740682460771
chr10_120208560_120208960	chr10	120208560	120208960	401	*	Promoter (<=1kb)	10	120208750	120224917	16168	1	68212	ENSMUST00000020446.10	0	ENSMUSG00000020225	Tmbim4	transmembrane BAX inhibitor motif containing 4	3304	chr10	120208560	120208960	401	*	7.85146777067385	7.42778155562119	8.17856031708091	-0.588339398073684	0.000326704964317798	0.00401569714329389
chr10_120226834_120227610	chr10	120226834	120227610	777	*	Promoter (<=1kb)	10	120227070	120232582	5513	1	66225	ENSMUST00000020444.15	0	ENSMUSG00000020224	Llph	LLP homolog, long-term synaptic facilitation (Aplysia)	3201	chr10	120226834	120227610	777	*	9.14881242007798	8.85445076339078	9.39317215525065	-0.466306515043601	0.000278404344222328	0.00353349993524539
chr10_120231712_120232112	chr10	120231712	120232112	401	*	3' UTR	10	120227186	120232071	4886	1	66225	ENSMUST00000130198.2	4526	ENSMUSG00000020224	Llph	LLP homolog, long-term synaptic facilitation (Aplysia)	4485	chr10	120231712	120232112	401	*	6.50335587654975	5.96682297972927	6.8935549605145	-0.621160252171711	0.00124029823896271	0.0112351385851367
chr10_120233945_120234345	chr10	120233945	120234345	401	*	Distal Intergenic	10	120227186	120232071	4886	1	66225	ENSMUST00000130198.2	6759	ENSMUSG00000020224	Llph	LLP homolog, long-term synaptic facilitation (Aplysia)	5637	chr10	120233945	120234345	401	*	6.112475028695	5.55645423521661	6.51282099842942	-0.582795465557222	0.00312961059232878	0.022555737011627
chr10_121256416_121256816	chr10	121256416	121256816	401	*	Distal Intergenic	10	121266609	121294648	28040	2	74694	ENSMUST00000218111.1	37832	ENSMUSG00000052302	Tbc1d30	TBC1 domain family, member 30	7280	chr10	121256416	121256816	401	*	5.74069495998737	5.09671561418227	6.18435956360439	-0.540460491459039	0.00795814570585464	0.0444013540596323
chr10_121507168_121507726	chr10	121507168	121507726	559	*	Intron (ENSMUST00000220364.1/ENSMUST00000220364.1, intron 1 of 2)	10	121410350	121476347	65998	2	192678	ENSMUST00000026902.8	-30821	ENSMUSG00000025795	Rassf3	Ras association (RalGDS/AF-6) domain family member 3	4659	chr10	121507168	121507726	559	*	8.99298694441083	8.73504111516739	9.21173364808873	-0.409663833809746	0.00145713465744341	0.0127063768465236
chr10_121516223_121516623	chr10	121516223	121516623	401	*	Intron (ENSMUST00000220364.1/ENSMUST00000220364.1, intron 2 of 2)	10	121551080	121552449	1370	2	56480	ENSMUST00000219439.1	35826	ENSMUSG00000020115	Tbk1	TANK-binding kinase 1	2269	chr10	121516223	121516623	401	*	7.60577863723627	7.11858164533085	7.96933120378005	-0.672792887487985	5.7529377813634e-05	0.00102982655474302
chr10_121534963_121535363	chr10	121534963	121535363	401	*	Distal Intergenic	10	121551080	121552449	1370	2	56480	ENSMUST00000219439.1	17086	ENSMUSG00000020115	Tbk1	TANK-binding kinase 1	4869	chr10	121534963	121535363	401	*	5.10406156202625	4.18241044687824	5.66193282349539	-0.723934666977759	0.00173626709030879	0.0144874354236959
chr10_121556273_121556673	chr10	121556273	121556673	401	*	Promoter (2-3kb)	10	121551260	121554163	2904	2	56480	ENSMUST00000220386.1	-2110	ENSMUSG00000020115	Tbk1	TANK-binding kinase 1	6137	chr10	121556273	121556673	401	*	7.10307157372565	6.72534953977488	7.40213814273222	-0.488893538701536	0.00424755183036088	0.0281188346443004
chr10_121689594_121689994	chr10	121689594	121689994	401	*	3' UTR	10	121641872	121692621	50750	1	216393	ENSMUST00000132744.1	47722	ENSMUSG00000047642	D930020B18Rik	RIKEN cDNA D930020B18 gene	4086	chr10	121689594	121689994	401	*	5.22986397592441	4.23686945337996	5.81248373762704	-0.809261838157167	0.000836495251022118	0.00831725221812912
chr10_122985634_122986696	chr10	122985634	122986696	1063	*	Promoter (<=1kb)	10	122985074	122985831	758	2	387251	ENSMUST00000220378.1	0	ENSMUSG00000065406	Mirlet7i	microRNA let7i	5972	chr10	122985634	122986696	1063	*	8.8395988161856	9.0775822043288	8.55445006132554	0.414738978482728	0.00386381465060442	0.0262851972220539
chr10_123075747_123076886	chr10	123075747	123076886	1140	*	Promoter (<=1kb)	10	122992060	123076505	84446	2	67074	ENSMUST00000073792.10	0	ENSMUSG00000034602	Mon2	MON2 homolog, regulator of endosome to Golgi trafficking	5086	chr10	123075747	123076886	1140	*	10.085675426683	9.85610110134418	10.2836835670487	-0.374444321125548	0.00208290162223463	0.0166382312635718
chr10_123117437_123117837	chr10	123117437	123117837	401	*	Promoter (1-2kb)	10	123113618	123119481	5864	2	14479	ENSMUST00000218042.1	1644	ENSMUSG00000020124	Usp15	ubiquitin specific peptidase 15	4956	chr10	123117437	123117837	401	*	5.03827232772708	4.10051672381168	5.60187526512377	-0.720582877905683	0.00186200764313113	0.0152611085754903
chr10_123195874_123196420	chr10	123195874	123196420	547	*	Promoter (<=1kb)	10	123161447	123196926	35480	2	14479	ENSMUST00000219010.1	506	ENSMUSG00000020124	Usp15	ubiquitin specific peptidase 15	1602	chr10	123195874	123196420	547	*	9.47957655507347	9.1438205877521	9.75175645564647	-0.537770162519791	8.59518849500052e-06	0.00021797548251335
chr10_123222801_123223201	chr10	123222801	123223201	401	*	Distal Intergenic	10	123105006	123196995	91990	2	14479	ENSMUST00000220377.1	-25806	ENSMUSG00000020124	Usp15	ubiquitin specific peptidase 15	6490	chr10	123222801	123223201	401	*	7.10530189406986	7.40030839757602	6.73404655031472	0.473988553885267	0.00522740015597337	0.0327184300051398
chr10_123263791_123264191	chr10	123263791	123264191	401	*	Promoter (<=1kb)	10	123263996	123741054	477059	1	268354	ENSMUST00000218926.1	0	ENSMUSG00000044071	Tafa2	TAFA chemokine like family member 2	5882	chr10	123263791	123264191	401	*	5.6076107046943	4.935684287325	6.06424024236983	-0.606705033194393	0.00368108067137167	0.025425240468517
chr10_126978231_126979102	chr10	126978231	126979102	872	*	Promoter (<=1kb)	10	126978717	126999969	21253	1	52468	ENSMUST00000105256.9	0	ENSMUSG00000078429	Ctdsp2	CTD small phosphatase 2	6179	chr10	126978231	126979102	872	*	9.68475730944215	9.480247102716	9.86384374931998	-0.336819790266033	0.00437589567469186	0.0287715671752235
chr10_126990342_126990742	chr10	126990342	126990742	401	*	Intron (ENSMUST00000105256.9/52468, intron 1 of 7)	10	126995530	126995613	84	1	723962	ENSMUST00000083496.1	-4788	ENSMUSG00000065430	Mir26a-2	microRNA 26a-2	1787	chr10	126990342	126990742	401	*	6.24594532588066	5.41270972208117	6.77074215812831	-0.986094699198386	1.66771821210717e-05	0.000379151582558915
chr10_127063153_127063867	chr10	127063153	127063867	715	*	Promoter (<=1kb)	10	127063534	127067920	4387	1	12567	ENSMUST00000006911.11	0	ENSMUSG00000006728	Cdk4	cyclin dependent kinase 4	6450	chr10	127063153	127063867	715	*	9.35080966322681	9.14064128313293	9.53421825554863	-0.341877265688616	0.00514656932881756	0.0324081650285033
chr10_127063969_127064369	chr10	127063969	127064369	401	*	Promoter (<=1kb)	10	127064298	127065315	1018	1	12567	ENSMUST00000123456.1	0	ENSMUSG00000006728	Cdk4	cyclin dependent kinase 4	6943	chr10	127063969	127064369	401	*	6.66150442751478	6.25474852568114	6.97844064853904	-0.487364154912177	0.0066736689466766	0.0390510079643713
chr10_127070164_127070564	chr10	127070164	127070564	401	*	Promoter (<=1kb)	10	127070481	127071101	621	1	100504703	ENSMUST00000217874.1	0	NA	A730063M14Rik	RIKEN cDNA A730063M14 gene	3254	chr10	127070164	127070564	401	*	8.83592794429383	8.50854205812583	9.10258944067675	-0.498820911708957	0.000306260359697128	0.00382324274976504
chr10_127120818_127121626	chr10	127120818	127121626	809	*	Promoter (<=1kb)	10	127095650	127121125	25476	2	216440	ENSMUST00000080975.5	0	ENSMUSG00000040462	Os9	amplified in osteosarcoma	3061	chr10	127120818	127121626	809	*	11.3862149068081	11.1609636621021	11.5810003907479	-0.38243596940575	0.000227652849410474	0.00302151333322421
chr10_127177667_127178204	chr10	127177667	127178204	538	*	Promoter (<=1kb)	10	127174785	127176989	2205	2	216441	ENSMUST00000218658.1	-678	ENSMUSG00000040441	Slc26a10	solute carrier family 26, member 10	3245	chr10	127177667	127178204	538	*	7.84000432656956	7.44623955727022	8.14901657554115	-0.56204382979087	0.000301437953181018	0.00377396601660562
chr10_127265676_127266076	chr10	127265676	127266076	401	*	Promoter (<=1kb)	10	127266368	127269803	3436	1	69654	ENSMUST00000217692.1	-292	ENSMUSG00000025410	Dctn2	dynactin 2	4960	chr10	127265676	127266076	401	*	7.64029410792042	7.29547514156862	7.91838977307851	-0.484499225749613	0.00186473095879801	0.0152738759401385
chr10_127266088_127266488	chr10	127266088	127266488	401	*	Promoter (<=1kb)	10	127266368	127269803	3436	1	69654	ENSMUST00000217692.1	0	ENSMUSG00000025410	Dctn2	dynactin 2	1241	chr10	127266088	127266488	401	*	10.9665102764898	10.6714675053263	11.2113386909419	-0.49328324405321	1.86507143507317e-06	6.10574191722141e-05
chr10_127338799_127339199	chr10	127338799	127339199	401	*	Promoter (<=1kb)	10	127337509	127339959	2451	2	14632	ENSMUST00000218236.1	760	ENSMUSG00000025407	Gli1	GLI-Kruppel family member GLI1	6305	chr10	127338799	127339199	401	*	7.7440822232119	7.44398687820429	7.99237571818926	-0.429570800127188	0.00474949558128684	0.0306039265631943
chr10_127342256_127342656	chr10	127342256	127342656	401	*	Promoter (<=1kb)	10	127337509	127341974	4466	2	14632	ENSMUST00000219671.1	-282	ENSMUSG00000025407	Gli1	GLI-Kruppel family member GLI1	1985	chr10	127342256	127342656	401	*	6.96779482964883	6.36302379625706	7.39263552922919	-0.777189778224954	2.98434754424065e-05	0.000610806487052217
chr10_127381710_127382110	chr10	127381710	127382110	401	*	Promoter (<=1kb)	10	127380799	127444332	63534	1	71750	ENSMUST00000111628.8	911	ENSMUSG00000025404	R3hdm2	R3H domain containing 2	7623	chr10	127381710	127382110	401	*	4.86130086166786	3.96968457122337	5.40824725155487	-0.545321570684307	0.0093548965906199	0.0498571932030847
chr10_127522227_127522627	chr10	127522227	127522627	401	*	Promoter (<=1kb)	10	127517123	127522386	5264	2	108037	ENSMUST00000219239.1	0	ENSMUSG00000025403	Shmt2	serine hydroxymethyltransferase 2 (mitochondrial)	1465	chr10	127522227	127522627	401	*	7.74423732241415	7.21961549600337	8.12813090794236	-0.744274505624462	5.1352577377091e-06	0.000142409635569903
chr10_12756707_12757107	chr10	12756707	12757107	401	*	Intron (ENSMUST00000076817.4/22288, intron 2 of 73)	10	12747927	12813574	65648	2	22288	ENSMUST00000219163.1	56467	ENSMUSG00000019820	Utrn	utrophin	3540	chr10	12756707	12757107	401	*	4.66420524509832	3.18728537023251	5.37855628519889	-0.99410515532605	0.000435109118442837	0.00499355315112349
chr10_127570407_127570807	chr10	127570407	127570807	401	*	Intron (ENSMUST00000049149.14/16971, intron 34 of 88)	10	127578329	127581885	3557	2	16971	ENSMUST00000129877.1	11078	ENSMUSG00000040249	Lrp1	low density lipoprotein receptor-related protein 1	3523	chr10	127570407	127570807	401	*	9.63865000882941	9.36792204619044	9.86651281667729	-0.43446520372631	0.000427684744829503	0.00493084566149281
chr10_127641777_127642177	chr10	127641777	127642177	401	*	Promoter (<=1kb)	10	127642986	127660957	17972	1	20852	ENSMUST00000092074.11	-809	ENSMUSG00000002147	Stat6	signal transducer and activator of transcription 6	2548	chr10	127641777	127642177	401	*	8.73363062917866	8.39603465230918	9.00701655024754	-0.520371827879934	9.89813480265754e-05	0.00157822418613645
chr10_127674701_127675101	chr10	127674701	127675101	401	*	Promoter (1-2kb)	10	127677064	127695168	18105	1	210035	ENSMUST00000118612.7	-1963	ENSMUSG00000040195	Nemp1	nuclear envelope integral membrane protein 1	7141	chr10	127674701	127675101	401	*	9.89105777094152	9.70533532721744	10.0555754417892	-0.309238525838302	0.00744335355513122	0.0423442603150551
chr10_127676556_127677073	chr10	127676556	127677073	518	*	Promoter (<=1kb)	10	127677064	127695168	18105	1	210035	ENSMUST00000118612.7	0	ENSMUSG00000040195	Nemp1	nuclear envelope integral membrane protein 1	4788	chr10	127676556	127677073	518	*	10.9254776664903	10.723062955739	11.102955794642	-0.341751998203809	0.00164131917528424	0.0139268742970495
chr10_128082994_128083394	chr10	128082994	128083394	401	*	Promoter (<=1kb)	10	128083273	128090391	7119	1	11947	ENSMUST00000026459.5	0	ENSMUSG00000025393	Atp5f1b	ATP synthase F1 subunit beta	1784	chr10	128082994	128083394	401	*	11.7925280621397	11.5368025853724	12.0096770561305	-0.433460523045513	1.65388353012033e-05	0.000376440956450007
chr10_128092442_128092842	chr10	128092442	128092842	401	*	Promoter (<=1kb)	10	128092783	128119325	26543	1	116848	ENSMUST00000219072.1	0	ENSMUSG00000040054	Baz2a	bromodomain adjacent to zinc finger domain, 2A	3505	chr10	128092442	128092842	401	*	8.10039174017637	7.74773522273224	8.38355407311316	-0.519824188358706	0.000417576670375223	0.00484019611621517
chr10_128093970_128094370	chr10	128093970	128094370	401	*	Promoter (1-2kb)	10	128092783	128129303	36521	1	116848	ENSMUST00000170054.8	1187	ENSMUSG00000040054	Baz2a	bromodomain adjacent to zinc finger domain, 2A	3685	chr10	128093970	128094370	401	*	9.56786507479944	9.31216871636526	9.78499308786422	-0.416126362157084	0.000530981946655625	0.00585405795027899
chr10_128094579_128094979	chr10	128094579	128094979	401	*	Promoter (1-2kb)	10	128096380	128119340	22961	1	116848	ENSMUST00000219980.1	-1401	ENSMUSG00000040054	Baz2a	bromodomain adjacent to zinc finger domain, 2A	2761	chr10	128094579	128094979	401	*	10.4509597885179	10.1834919227928	10.6765106462685	-0.438446388467352	0.00014615680570477	0.00215063837209985
chr10_128140558_128140958	chr10	128140558	128140958	401	*	Promoter (2-3kb)	10	128137678	128143729	6052	2	56516	ENSMUST00000218884.1	2771	ENSMUSG00000040043	Rbms2	RNA binding motif, single stranded interacting protein 2	4819	chr10	128140558	128140958	401	*	7.0091736105408	6.56157732860562	7.35029001475107	-0.553115189190813	0.00168541017932113	0.0142089975835816
chr10_12814236_12814801	chr10	12814236	12814801	566	*	Promoter (<=1kb)	10	12720834	12813615	92782	2	22288	ENSMUST00000217899.1	-621	ENSMUSG00000019820	Utrn	utrophin	6969	chr10	12814236	12814801	566	*	8.42342224969718	8.17681341015215	8.63396656170482	-0.376436194628358	0.00676259122142488	0.0394237040540721
