seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr11	31824475	31825097	623	*	Promoter (<=1kb)	11	31800688	31824524	23837	2	414116	ENSMUST00000134944.1	0	ENSMUSG00000085772	D630024D03Rik	RIKEN cDNA D630024D03 gene
chr1	91251399	91251577	179	*	Promoter (<=1kb)	1	91250656	91265237	14582	1	67921	ENSMUST00000191533.1	743	ENSMUSG00000034343	Ube2f	ubiquitin-conjugating enzyme E2F (putative)
chr17	71165097	71165316	220	*	Intron (ENSMUST00000233463.1/ENSMUST00000233463.1, intron 1 of 3)	17	71182560	71235119	52560	1	64898	ENSMUST00000142842.7	-17244	ENSMUSG00000024052	Lpin2	lipin 2
chr11	103404680	103404943	264	*	Intron (ENSMUST00000041272.9/353047, intron 1 of 11)	11	103364275	103412687	48413	2	353047	ENSMUST00000041272.9	7744	ENSMUSG00000034247	Plekhm1	pleckstrin homology domain containing, family M (with RUN domain) member 1
chr11	62005565	62005849	285	*	Promoter (<=1kb)	11	62005350	62138071	132722	1	432572	ENSMUST00000201624.3	215	ENSMUSG00000042331	Specc1	sperm antigen with calponin homology and coiled-coil domains 1
chr12	32017627	32018020	394	*	Intron (ENSMUST00000003079.11/19088, intron 2 of 11)	12	31958480	32060589	102110	2	19088	ENSMUST00000146865.1	42569	ENSMUSG00000002997	Prkar2b	protein kinase, cAMP dependent regulatory, type II beta
chr9	108307562	108307723	162	*	Promoter (<=1kb)	9	108306829	108330916	24088	1	11848	ENSMUST00000193490.1	733	ENSMUSG00000007815	Rhoa	ras homolog family member A
chr19	5823573	5823742	170	*	Distal Intergenic	19	5844286	5844437	152	2	66961	ENSMUST00000183800.1	20695	ENSMUSG00000092274	Neat1	nuclear paraspeckle assembly transcript 1 (non-protein coding)
chr11	70079273	70079434	162	*	Distal Intergenic	11	70092644	70106187	13544	1	11890	ENSMUST00000102572.7	-13210	ENSMUSG00000040963	Asgr2	asialoglycoprotein receptor 2
chr4	53485494	53485680	187	*	Intron (ENSMUST00000107646.8/100434, intron 2 of 12)	4	53440684	53563450	122767	1	100434	ENSMUST00000107647.7	44810	ENSMUSG00000028412	Slc44a1	solute carrier family 44, member 1
chr11	120938065	120938294	230	*	Distal Intergenic	11	120826529	120932872	106344	2	71276	ENSMUST00000056781.4	-5193	ENSMUSG00000048445	Ccdc57	coiled-coil domain containing 57
chr17	71206273	71206433	161	*	Promoter (1-2kb)	17	71204676	71248242	43567	1	64898	ENSMUST00000126681.7	1597	ENSMUSG00000024052	Lpin2	lipin 2
chr3	152355417	152355805	389	*	Intron (ENSMUST00000117492.8/170822, intron 1 of 23)	3	152361898	152368491	6594	1	170822	ENSMUST00000138575.5	-6093	ENSMUSG00000025437	Usp33	ubiquitin specific peptidase 33
chr18	56893509	56893737	229	*	Intron (ENSMUST00000102912.7/320253, intron 1 of 4)	18	56803669	56925515	121847	2	320253	ENSMUST00000153044.1	31778	ENSMUSG00000032656	Marchf3	membrane associated ring-CH-type finger 3
chr4	41368147	41368411	265	*	Promoter (2-3kb)	4	41371248	41379416	8169	1	67123	ENSMUST00000154529.1	-2837	ENSMUSG00000028437	Ubap1	ubiquitin-associated protein 1
chr13	94328121	94328384	264	*	Distal Intergenic	13	94355839	94358818	2980	2	328309	ENSMUST00000059598.2	30434	ENSMUSG00000042857	Gm9776	predicted gene 9776
chr11	62095709	62095866	158	*	Intron (ENSMUST00000201866.3/432572, intron 3 of 3)	11	62077097	62223013	145917	1	432572	ENSMUST00000202179.1	18612	ENSMUSG00000042331	Specc1	sperm antigen with calponin homology and coiled-coil domains 1
chr14	121929302	121929453	152	*	Intron (ENSMUST00000039803.6/68889, intron 4 of 8)	14	121916203	121994450	78248	1	68889	ENSMUST00000227684.1	13099	ENSMUSG00000041765	Ubac2	ubiquitin associated domain containing 2
chr5	143518196	143518372	177	*	Promoter (<=1kb)	5	143507060	143518182	11123	2	19353	ENSMUST00000145709.7	-14	ENSMUSG00000001847	Rac1	Rac family small GTPase 1
chr2	164748279	164748485	207	*	Promoter (2-3kb)	2	164746031	164761560	15530	1	76233	ENSMUST00000109327.3	2248	ENSMUSG00000017299	Dnttip1	deoxynucleotidyltransferase, terminal, interacting protein 1
chr5	67310098	67310217	120	*	Promoter (2-3kb)	5	67307184	67318915	11732	1	109108	ENSMUST00000159907.2	2914	ENSMUSG00000029221	Slc30a9	solute carrier family 30 (zinc transporter), member 9
chr18	68227586	68227765	180	*	Promoter (<=1kb)	18	68228067	68268630	40564	1	52662	ENSMUST00000236987.1	-302	ENSMUSG00000024544	Ldlrad4	low density lipoprotein receptor class A domain containing 4
chr14	47594529	47594736	208	*	Distal Intergenic	14	47540893	47570649	29757	2	100504663	ENSMUST00000226299.1	-23880	ENSMUSG00000037526	Atg14	autophagy related 14
chr1	154433673	154433823	151	*	Intron (ENSMUST00000187541.6/12290, intron 34 of 46)	1	154413976	154421155	7180	2	12290	ENSMUST00000226546.1	-12518	ENSMUSG00000004110	Cacna1e	calcium channel, voltage-dependent, R type, alpha 1E subunit
chr11	62549743	62549936	194	*	Promoter (1-2kb)	11	62551171	62553213	2043	1	22187	ENSMUST00000019649.3	-1235	ENSMUSG00000019505	Ubb	ubiquitin B
chr6	39416839	39416941	103	*	Promoter (2-3kb)	6	39404811	39419757	14947	2	54484	ENSMUST00000146785.7	2816	ENSMUSG00000029922	Mkrn1	makorin, ring finger protein, 1
chr14	75180564	75180726	163	*	Intron (ENSMUST00000143539.7/18826, intron 1 of 2)	14	75176208	75198142	21935	1	18826	ENSMUST00000149883.1	4356	ENSMUSG00000021998	Lcp1	lymphocyte cytosolic protein 1
chr7	106215947	106216190	244	*	Promoter (<=1kb)	7	106156556	106215326	58771	2	100042856	ENSMUST00000183409.1	-621	ENSMUSG00000078606	Gvin2	GTPase, very large interferon inducible, family member 2
chr2	152817569	152818185	617	*	Intron (ENSMUST00000007803.11/12048, intron 2 of 2)	2	152781411	152828535	47125	2	12048	ENSMUST00000173755.1	10350	ENSMUSG00000007659	Bcl2l1	BCL2-like 1
chr6	67050145	67050362	218	*	Intron (ENSMUST00000130657.7/320172, intron 1 of 6)	6	67036897	67037457	561	2	13197	ENSMUST00000155041.1	-12688	ENSMUSG00000036390	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha
chr13	51777049	51777324	276	*	Promoter (<=1kb)	13	51725390	51777111	51722	2	20354	ENSMUST00000139858.7	0	ENSMUSG00000021451	Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D
chr11	116580028	116580500	473	*	Promoter (<=1kb)	11	116537740	116581447	43708	2	217342	ENSMUST00000082152.4	947	ENSMUSG00000020802	Ube2o	ubiquitin-conjugating enzyme E2O
chr5	129978694	129978857	164	*	Promoter (1-2kb)	5	129976994	129982480	5487	1	69568	ENSMUST00000202486.1	1700	ENSMUSG00000066735	Vkorc1l1	vitamin K epoxide reductase complex, subunit 1-like 1
chr17	71204318	71204743	426	*	Promoter (<=1kb)	17	71204654	71231505	26852	1	64898	ENSMUST00000135589.7	0	ENSMUSG00000024052	Lpin2	lipin 2
chr13	34861323	34861435	113	*	Distal Intergenic	13	34875302	34906064	30763	1	19134	ENSMUST00000077853.4	-13867	ENSMUSG00000021413	Prpf4b	pre-mRNA processing factor 4B
chr1	189767227	189767616	390	*	Intron (ENSMUST00000097442.8/19250, intron 1 of 18)	1	189786636	189851976	65341	1	19250	ENSMUST00000128275.1	-19020	ENSMUSG00000026604	Ptpn14	protein tyrosine phosphatase, non-receptor type 14
chr3	84450841	84450965	125	*	Promoter (2-3kb)	3	84448809	84453763	4955	2	229474	ENSMUST00000125643.1	2798	ENSMUSG00000041842	Fhdc1	FH2 domain containing 1
chr2	131496597	131496741	145	*	Intron (ENSMUST00000129143.7/228608, intron 1 of 3)	2	131492264	131512177	19914	1	228608	ENSMUST00000131698.1	4333	ENSMUSG00000027333	Smox	spermine oxidase
chr12	116269533	116269792	260	*	Distal Intergenic	12	116207051	116263022	55972	2	217935	ENSMUST00000039349.7	-6511	ENSMUSG00000042050	Dync2i1	dynein 2 intermediate chain 1
chr7	105954566	105954821	256	*	Promoter (<=1kb)	7	105903519	105953967	50449	2	100042856	ENSMUST00000176994.1	-599	ENSMUSG00000078606	Gvin2	GTPase, very large interferon inducible, family member 2
chr6	85453000	85453279	280	*	Promoter (<=1kb)	6	85452092	85468282	16191	1	12468	ENSMUST00000204592.2	908	ENSMUSG00000030007	Cct7	chaperonin containing TCP1 subunit 7
chr6	60851794	60851985	192	*	Distal Intergenic	6	60731575	60829855	98281	2	20617	ENSMUST00000163779.7	-21939	ENSMUSG00000025889	Snca	synuclein, alpha
chr4	132198317	132198823	507	*	Intron (ENSMUST00000152796.7/213541, intron 4 of 4)	4	132186688	132210809	24122	2	213541	ENSMUST00000165072.1	11986	ENSMUSG00000040025	Ythdf2	YTH N6-methyladenosine RNA binding protein 2
chr14	70707885	70708278	394	*	Promoter (<=1kb)	14	70664841	70708035	43195	2	65246	ENSMUST00000228346.1	0	ENSMUSG00000022100	Xpo7	exportin 7
chr12	3283927	3284118	192	*	Intron (ENSMUST00000021001.9/19325, intron 1 of 5)	12	3247428	3309969	62542	2	19325	ENSMUST00000021001.9	25851	ENSMUSG00000020671	Rab10	RAB10, member RAS oncogene family
chr9	64035968	64036134	167	*	Distal Intergenic	9	64038465	64041465	3001	2	73397	ENSMUST00000176450.1	5331	ENSMUSG00000093616	1700055C04Rik	RIKEN cDNA 1700055C04 gene
chr18	82522508	82522666	159	*	Intron (ENSMUST00000091789.10/17196, intron 3 of 3)	18	82554470	82585627	31158	1	17196	ENSMUST00000152071.8	-31804	ENSMUSG00000041607	Mbp	myelin basic protein
chr18	75021963	75022104	142	*	Intron (ENSMUST00000236220.1/69190, intron 1 of 8)	18	75018796	75087705	68910	1	69190	ENSMUST00000235692.1	3167	ENSMUSG00000035765	Dym	dymeclin
chr1	125389717	125390609	893	*	Distal Intergenic	1	125393484	125397612	4129	2	74117	ENSMUST00000186008.6	7003	ENSMUSG00000026341	Actr3	ARP3 actin-related protein 3
chr11	95826413	95826582	170	*	Promoter (1-2kb)	11	95824500	95832140	7641	1	237928	ENSMUST00000054173.3	1913	ENSMUSG00000050860	Phospho1	phosphatase, orphan 1
chr11	53294524	53294753	230	*	Intron (ENSMUST00000020630.7/15525, intron 1 of 18)	11	53264247	53300411	36165	2	15525	ENSMUST00000151854.1	5658	ENSMUSG00000020361	Hspa4	heat shock protein 4
chr1	178317434	178317510	77	*	Promoter (1-2kb)	1	178319130	178322335	3206	1	66359	ENSMUST00000154437.1	-1620	ENSMUSG00000026500	Cox20	cytochrome c oxidase assembly protein 20
chr15	102721159	102721281	123	*	Promoter (<=1kb)	15	102707585	102722131	14547	2	67488	ENSMUST00000171838.1	850	ENSMUSG00000023055	Calcoco1	calcium binding and coiled coil domain 1
chr12	111535317	111535633	317	*	Promoter (2-3kb)	12	111538016	111546752	8737	1	217869	ENSMUST00000166123.8	-2383	ENSMUSG00000021282	Eif5	eukaryotic translation initiation factor 5
chr6	55342546	55342653	108	*	Intron (ENSMUST00000004774.3/11826, intron 1 of 3)	6	55336432	55348555	12124	1	11826	ENSMUST00000004774.3	6114	ENSMUSG00000004655	Aqp1	aquaporin 1
chr17	35257477	35257660	184	*	Distal Intergenic	17	35262730	35267499	4770	1	14964	ENSMUST00000172785.7	-5070	ENSMUSG00000073411	H2-D1	histocompatibility 2, D region locus 1
chr8	70272953	70273236	284	*	Intron (ENSMUST00000148378.7/234373, intron 2 of 3)	8	70282827	70286530	3704	1	26558	ENSMUST00000087467.11	-9591	ENSMUSG00000003573	Homer3	homer scaffolding protein 3
chr6	66987700	66987936	237	*	Intron (ENSMUST00000043148.12/14701, intron 3 of 4)	6	67036599	67080654	44056	1	320172	ENSMUST00000130657.7	-48663	ENSMUSG00000087231	E230016M11Rik	RIKEN cDNA E230016M11 gene
chr6	56905027	56905339	313	*	Intron (ENSMUST00000031793.7/107569, intron 1 of 8)	6	56882400	56901886	19487	2	107569	ENSMUST00000101367.8	-3141	ENSMUSG00000029780	Nt5c3	5'-nucleotidase, cytosolic III
chr17	50513545	50513654	110	*	Intron (ENSMUST00000043938.7/224860, intron 1 of 5)	17	50509403	50688484	179082	1	224860	ENSMUST00000043938.7	4142	ENSMUSG00000038910	Plcl2	phospholipase C-like 2
chr14	55885577	55885733	157	*	Promoter (<=1kb)	14	55885017	55898775	13759	1	219094	ENSMUST00000228462.1	560	ENSMUSG00000047153	Khnyn	KH and NYN domain containing
chr7	27454514	27455001	488	*	Promoter (2-3kb)	7	27452444	27462695	10252	1	233016	ENSMUST00000153644.1	2070	ENSMUSG00000040466	Blvrb	biliverdin reductase B
chr9	96219349	96219532	184	*	Exon (ENSMUST00000192006.1/ENSMUST00000192006.1, exon 1 of 1)	9	96202156	96295128	92973	1	211586	ENSMUST00000188829.6	17193	ENSMUSG00000032411	Tfdp2	transcription factor Dp 2
chr1	161750683	161751011	329	*	Distal Intergenic	1	161780689	161788495	7807	2	14103	ENSMUST00000000834.3	37484	ENSMUSG00000000817	Fasl	Fas ligand
chr10	41241660	41241872	213	*	Intron (ENSMUST00000043814.4/103199, intron 15 of 22)	10	41188172	41303260	115089	2	103199	ENSMUST00000043814.4	61388	ENSMUSG00000038417	Fig4	FIG4 phosphoinositide 5-phosphatase
chr3	100440121	100440250	130	*	Distal Intergenic	3	100426439	100437754	11316	1	73806	ENSMUST00000152827.1	13682	ENSMUSG00000086923	4930406D18Rik	RIKEN cDNA 4930406D18 gene
chr9	6182483	6182556	74	*	Intron (ENSMUST00000058692.8/71785, intron 1 of 6)	9	6168661	6378850	210190	1	71785	ENSMUST00000214892.1	13822	ENSMUSG00000032006	Pdgfd	platelet-derived growth factor, D polypeptide
chr13	98896527	98897061	535	*	Intron (ENSMUST00000109401.7/238799, intron 1 of 23)	13	98839019	98891040	52022	2	238799	ENSMUST00000109399.8	-5487	ENSMUSG00000009470	Tnpo1	transportin 1
chr11	8968210	8968326	117	*	Intron (ENSMUST00000154153.7/ENSMUST00000154153.7, intron 1 of 49)	11	8998739	9010678	11940	2	15574	ENSMUST00000146002.7	42352	ENSMUSG00000020413	Hus1	HUS1 checkpoint clamp component
chr12	51866377	51866657	281	*	Distal Intergenic	12	51887496	51888990	1495	2	320487	ENSMUST00000218847.1	22333	ENSMUSG00000035181	Heatr5a	HEAT repeat containing 5A
chr11	116581389	116581827	439	*	Promoter (<=1kb)	11	116537740	116581447	43708	2	217342	ENSMUST00000082152.4	0	ENSMUSG00000020802	Ube2o	ubiquitin-conjugating enzyme E2O
chr4	59524981	59525165	185	*	Intron (ENSMUST00000030076.11/230257, intron 1 of 13)	4	59501103	59514348	13246	2	230257	ENSMUST00000151313.2	-10633	ENSMUSG00000028382	Ptbp3	polypyrimidine tract binding protein 3
chr13	94263960	94264229	270	*	Promoter (<=1kb)	13	94225023	94265146	40124	2	107767	ENSMUST00000138255.1	917	ENSMUSG00000021687	Scamp1	secretory carrier membrane protein 1
chr3	84461840	84461995	156	*	Intron (ENSMUST00000107689.6/229474, intron 4 of 11)	3	84448809	84453763	4955	2	229474	ENSMUST00000125643.1	-8077	ENSMUSG00000041842	Fhdc1	FH2 domain containing 1
chr5	142521556	142521760	205	*	Intron (ENSMUST00000063635.14/231858, intron 2 of 14)	5	142525838	142530076	4239	2	56522	ENSMUST00000099400.2	8316	ENSMUSG00000074817	Papolb	poly (A) polymerase beta (testis specific)
chr1	55041819	55042013	195	*	Distal Intergenic	1	55052770	55071953	19184	1	67876	ENSMUST00000087617.10	-10757	ENSMUSG00000025981	Coq10b	coenzyme Q10B
chr10	91060905	91061128	224	*	Intron (ENSMUST00000159110.7/11783, intron 7 of 26)	10	91065392	91082429	17038	2	11783	ENSMUST00000161987.7	21301	ENSMUSG00000019979	Apaf1	apoptotic peptidase activating factor 1
chr10	117916342	117916590	249	*	Distal Intergenic	10	117925459	117948292	22834	1	71067	ENSMUST00000217950.1	-8869	ENSMUSG00000112500	4933411E08Rik	RIKEN cDNA 4933411E08 gene
chr6	88782958	88783442	485	*	Intron (ENSMUST00000113585.8/23945, intron 3 of 7)	6	88823130	88825833	2704	1	23945	ENSMUST00000205045.1	-39688	ENSMUSG00000033174	Mgll	monoglyceride lipase
chr9	50533554	50533747	194	*	Exon (ENSMUST00000216563.1/ENSMUST00000216563.1, exon 2 of 2)	9	50522194	50528724	6531	2	19286	ENSMUST00000215416.1	-4830	ENSMUSG00000032067	Pts	6-pyruvoyl-tetrahydropterin synthase
chr4	152010325	152010602	278	*	Promoter (1-2kb)	4	152008803	152017680	8878	1	242785	ENSMUST00000097773.3	1522	ENSMUSG00000073700	Klhl21	kelch-like 21
chr19	55828010	55828124	115	*	Intron (ENSMUST00000111662.10/21416, intron 4 of 13)	19	55893352	55919618	26267	1	21416	ENSMUST00000145249.7	-65228	ENSMUSG00000024985	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box
chr5	142521320	142521474	155	*	Intron (ENSMUST00000063635.14/231858, intron 2 of 14)	5	142525838	142530076	4239	2	56522	ENSMUST00000099400.2	8602	ENSMUSG00000074817	Papolb	poly (A) polymerase beta (testis specific)
chr1	189860192	189860406	215	*	Promoter (2-3kb)	1	189862659	189863433	775	1	19250	ENSMUST00000148129.1	-2253	ENSMUSG00000026604	Ptpn14	protein tyrosine phosphatase, non-receptor type 14
chr7	44436755	44436953	199	*	Intron (ENSMUST00000127790.7/272381, intron 1 of 2)	7	44442485	44463351	20867	1	272381	ENSMUST00000058667.14	-5532	ENSMUSG00000047085	Lrrc4b	leucine rich repeat containing 4B
chr1	90274984	90275489	506	*	Distal Intergenic	1	90204006	90213833	9828	1	12778	ENSMUST00000159654.1	70978	ENSMUSG00000044337	Ackr3	atypical chemokine receptor 3
chr10	58451466	58451596	131	*	Intron (ENSMUST00000219332.1/19386, intron 1 of 5)	10	58447195	58460973	13779	1	19386	ENSMUST00000220131.1	4271	ENSMUSG00000003226	Ranbp2	RAN binding protein 2
chr12	51850450	51850606	157	*	Distal Intergenic	12	51743722	51829536	85815	2	207304	ENSMUST00000179265.7	-20914	ENSMUSG00000035247	Hectd1	HECT domain E3 ubiquitin protein ligase 1
chr2	152816396	152816570	175	*	Intron (ENSMUST00000007803.11/12048, intron 2 of 2)	2	152781411	152828535	47125	2	12048	ENSMUST00000173755.1	11965	ENSMUSG00000007659	Bcl2l1	BCL2-like 1
chr11	58126499	58126673	175	*	Exon (ENSMUST00000172035.7/216766, exon 25 of 28)	11	58114027	58117258	3232	1	69125	ENSMUST00000133923.1	12472	ENSMUSG00000020515	Cnot8	CCR4-NOT transcription complex, subunit 8
chr17	74279159	74279687	529	*	Intron (ENSMUST00000233514.2/76890, intron 1 of 8)	17	74200702	74288648	87947	2	76890	ENSMUST00000233422.1	8961	ENSMUSG00000058704	Memo1	mediator of cell motility 1
chr1	87648740	87648953	214	*	Intron (ENSMUST00000169754.7/16331, intron 2 of 26)	1	87621674	87667916	46243	1	16331	ENSMUST00000163576.1	27066	ENSMUSG00000026288	Inpp5d	inositol polyphosphate-5-phosphatase D
chr8	13338498	13338857	360	*	Promoter (<=1kb)	8	13338751	13378448	39698	1	21781	ENSMUST00000209885.1	0	ENSMUSG00000038482	Tfdp1	transcription factor Dp 1
chr6	3565801	3565972	172	*	Intron (ENSMUST00000001412.16/73288, intron 18 of 27)	6	3570694	3603315	32622	1	73288	ENSMUST00000183532.7	-4722	ENSMUSG00000001376	Vps50	VPS50 EARP/GARPII complex subunit
chr1	191875094	191875313	220	*	Distal Intergenic	1	191890233	191899256	9024	2	98736	ENSMUST00000140401.1	23943	ENSMUSG00000055833	1700034H15Rik	RIKEN cDNA 1700034H15 gene
chr19	9895991	9896065	75	*	Promoter (<=1kb)	19	9872677	9895460	22784	2	16319	ENSMUST00000237439.1	-531	ENSMUSG00000024660	Incenp	inner centromere protein
chr1	132374138	132374777	640	*	Intron (ENSMUST00000045473.15/68875, intron 2 of 4)	1	132356316	132367887	11572	2	68875	ENSMUST00000142609.7	-6251	ENSMUSG00000042066	Tmcc2	transmembrane and coiled-coil domains 2
chr2	71188086	71188236	151	*	Distal Intergenic	2	71211706	71263298	51593	1	13427	ENSMUST00000112142.7	-23470	ENSMUSG00000027012	Dync1i2	dynein cytoplasmic 1 intermediate chain 2
chr12	105026223	105026537	315	*	Intron (ENSMUST00000222271.1/ENSMUST00000222271.1, intron 3 of 3)	12	105031077	105031141	65	2	100526471	ENSMUST00000198802.1	4604	ENSMUSG00000106366	Mir3069	microRNA 3069
chr19	41474957	41475125	169	*	Distal Intergenic	19	41482637	41562261	79625	1	212391	ENSMUST00000067795.12	-7512	ENSMUSG00000025019	Lcor	ligand dependent nuclear receptor corepressor
chr1	75190664	75190911	248	*	Promoter (<=1kb)	1	75180865	75190382	9518	2	245860	ENSMUST00000189820.6	-282	ENSMUSG00000033124	Atg9a	autophagy related 9A
chr10	84574990	84575080	91	*	Promoter (1-2kb)	10	84576626	84614359	37734	1	216198	ENSMUST00000020223.7	-1546	ENSMUSG00000020034	Tcp11l2	t-complex 11 (mouse) like 2
chr4	129464361	129464557	197	*	Promoter (<=1kb)	4	129464542	129465542	1001	1	100383	ENSMUST00000153591.1	0	ENSMUSG00000040859	Bsdc1	BSD domain containing 1
chr18	84293728	84293811	84	*	Intron (ENSMUST00000125450.8/240476, intron 2 of 2)	18	84279820	84412420	132601	2	240476	ENSMUST00000143597.1	118609	ENSMUSG00000048410	Zfp407	zinc finger protein 407
chr1	54966991	54967151	161	*	Distal Intergenic	1	54985173	54991115	5943	2	81898	ENSMUST00000190175.1	23964	ENSMUSG00000025982	Sf3b1	splicing factor 3b, subunit 1
chr3	51337056	51337164	109	*	Intron (ENSMUST00000194641.5/69257, intron 1 of 9)	3	51264886	51340561	75676	2	69257	ENSMUST00000194209.1	3397	ENSMUSG00000037174	Elf2	E74-like factor 2
chr7	27458753	27458864	112	*	Intron (ENSMUST00000037399.15/233016, intron 1 of 4)	7	27452444	27462695	10252	1	233016	ENSMUST00000153644.1	6309	ENSMUSG00000040466	Blvrb	biliverdin reductase B
chr3	60509351	60509467	117	*	Intron (ENSMUST00000195724.5/56758, intron 2 of 2)	3	60501278	60629731	128454	1	56758	ENSMUST00000194069.5	8073	ENSMUSG00000027763	Mbnl1	muscleblind like splicing regulator 1
chr2	93454500	93454611	112	*	Promoter (1-2kb)	2	93452821	93466400	13580	1	100038525	ENSMUST00000163052.1	1679	ENSMUSG00000075025	Gm10804	predicted gene 10804
chr1	153909420	153909655	236	*	3' UTR	1	153906043	153907116	1074	1	14645	ENSMUST00000154576.1	3377	ENSMUSG00000026473	Glul	glutamate-ammonia ligase
chr19	43358967	43359097	131	*	Intron (ENSMUST00000099428.4/545291, intron 2 of 11)	19	43294201	43388254	94054	2	545291	ENSMUST00000236823.1	29157	ENSMUSG00000074852	Hpse2	heparanase 2
chr8	80555099	80555282	184	*	Distal Intergenic	8	80611080	80695356	84277	1	333315	ENSMUST00000039695.6	-55798	ENSMUSG00000042353	Frem3	Fras1 related extracellular matrix protein 3
chr14	70621491	70621583	93	*	Promoter (2-3kb)	14	70603670	70618545	14876	2	13829	ENSMUST00000228001.1	-2946	ENSMUSG00000022099	Dmtn	dematin actin binding protein
chr7	103825703	103826853	1151	*	Promoter (<=1kb)	7	103826728	103827725	998	2	15129	ENSMUST00000131960.2	872	ENSMUSG00000052305	Hbb-b1	hemoglobin, beta adult major chain
chr17	71250837	71250978	142	*	Distal Intergenic	17	71252903	71255406	2504	2	246707	ENSMUST00000233083.1	4428	ENSMUSG00000024053	Emilin2	elastin microfibril interfacer 2
chr11	20899888	20900120	233	*	Distal Intergenic	11	20829312	20831056	1745	2	216551	ENSMUST00000154300.7	-68832	ENSMUSG00000042363	Lgalsl	galectin like
chr3	3147382	3147488	107	*	Distal Intergenic	3	3508030	3657844	149815	1	30942	ENSMUST00000108393.7	-360542	ENSMUSG00000017688	Hnf4g	hepatocyte nuclear factor 4, gamma
chr17	35997805	35998011	207	*	Intron (ENSMUST00000173900.1/77810, intron 1 of 1)	17	35994453	36038435	43983	1	77810	ENSMUST00000173900.1	3352	NA	A930015D03Rik	RIKEN cDNA A930015D03 gene
chr11	95349659	95349812	154	*	Exon (ENSMUST00000143482.1/215512, exon 2 of 6)	11	95339962	95375087	35126	1	215512	ENSMUST00000143482.1	9697	ENSMUSG00000038893	Fam117a	family with sequence similarity 117, member A
chr17	46159070	46159155	86	*	Promoter (1-2kb)	17	46161032	46169368	8337	1	56055	ENSMUST00000169383.7	-1877	ENSMUSG00000023952	Gtpbp2	GTP binding protein 2
chr10	104041902	104042029	128	*	Distal Intergenic	10	104142987	104145456	2470	1	637578	ENSMUST00000181634.7	-100958	ENSMUSG00000095022	Gm20765	predicted gene, 20765
chr14	70691293	70691373	81	*	Intron (ENSMUST00000167242.7/65246, intron 10 of 27)	14	70680367	70685557	5191	2	65246	ENSMUST00000227550.1	-5736	ENSMUSG00000022100	Xpo7	exportin 7
